id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
211012,The Batman,177,"[13025, 13018, 13023]",2022,['U.S.A.'],4.0,4.1,"[97604, 200576, 90379, 22901, 14017, 41623, 891573, 19053, 64733, 646346, 32776, 14011, 101445, 231097, 231096, 539025, 556072, 73949, 672181, 441050, 642012, 681456, 954577, 829352, 757304, 944603, 956199, 811435]",[47801],https://fr.web.img5.acsta.net/pictures/22/02/16/17/42/3125788.jpg
317524,L’Heureuse élue,91,[13005],2024,['France'],1.7,2.7,"[638217, 561427, 17246, 2349, 642521, 191011, 896437, 637890, 1000031413]",[457267],https://fr.web.img2.acsta.net/img/4c/4c/4c4c000f1d19b55e121a9e31d5160b51.jpg
31996,Six jours sept nuits,95,"[13001, 13005]",1998,['U.S.A.'],,2.4,"[472, 19155, 27842, 27843, 19540, 27844, 22533, 32977, 52425, 52427, 52430, 52431, 52418]",[1421],https://fr.web.img6.acsta.net/medias/nmedia/18/77/62/51/19416106.jpg
28682,Mulholland Drive,146,"[13008, 13012, 13023]",2001,"['U.S.A.', 'France']",4.7,4.0,"[66323, 66322, 20942, 21440, 471680, 47967, 472261, 198382, 139266, 464635, 2177, 40477, 1030, 66655, 434849, 104307, 104306, 79617, 29201, 24475, 124824, 40027, 94590, 104305, 69101, 80750, 69447, 10523, 157611, 57883, 75109, 77999, 3467, 45182, 3592, 8574, 29662, 50804, 90640, 104369, 104955, 111882, 116735, 116881, 181909, 183606, 225946, 404060, 433452, 437570, 443608, 446670, 448415, 448906, 450273, 483544, 469630, 468779, 479437, 675, 448229, 482994, 475773, 463740]",[648],https://fr.web.img5.acsta.net/pictures/21/12/08/16/03/5133751.jpg
135257,Evasion,116,"[13025, 13023]",2013,['U.S.A.'],1.6,3.4,"[5311, 1067, 22427, 60038, 63635, 973, 6994, 28587, 61597, 99417, 488862, 430926, 449578, 172409, 601849, 213034, 208657, 600615, 210651, 654431, 79017, 127782, 615045, 83698, 607437]",[92959],https://fr.web.img6.acsta.net/pictures/210/416/21041625_20130919114531457.jpg
50325,Les Choristes,97,"[13002, 13043]",2004,"['France', 'Suisse', 'Allemagne']",3.6,3.7,"[6527, 2372, 2764, 95212, 38439, 13561, 54849, 96192, 42336, 31258, 96193, 96195, 49796, 13341, 239345, 96162, 96196, 96197, 96198, 96200, 96201, 96202, 96203, 96199, 429889, 468415]",[86266],https://fr.web.img3.acsta.net/pictures/24/03/20/17/00/0381736.jpg
469,L'événement le plus important depuis que l'homme a marché sur la lune,92,[13005],2010,"['Italie', 'France']",,3.1,"[191, 1158, 1509, 15657, 1512, 3461, 10759, 1511, 10824, 1529, 18319, 4894, 9765, 72991, 1327, 2770, 16960, 43716, 35761, 49859, 35948, 1527, 100644, 83505, 137913, 25855, 154325, 147429, 228058, 54523, 35991, 39514, 76876, 76184, 104317, 35609, 165567, 99244, 193502]",[1469],https://fr.web.img6.acsta.net/medias/nmedia/18/68/52/57/19175705.jpg
857,Citizen Kane,119,[13008],1946,['U.S.A.'],4.8,4.4,"[1414, 2653, 1563, 2847, 718, 3785, 6802, 16663, 7501, 27997, 30889, 54918, 66947, 402018, 475495, 989, 69560, 98769, 444122, 480324]",[989],https://fr.web.img3.acsta.net/medias/nmedia/00/02/56/56/aff.jpg
47326,La Passion du Christ,127,"[13027, 13008, 13015]",2004,['U.S.A.'],2.5,3.2,"[22427, 15756, 181224, 17580, 96387, 82219, 62642, 7544, 21292, 96385, 25314, 76742, 96389, 96390, 96391, 96392, 150353, 180610, 96388, 96386, 96595]",[2098],https://fr.web.img4.acsta.net/medias/nmedia/18/35/22/44/18375186.jpg
302290,Pourquoi tu souris ?,95,[13005],2024,['France'],2.9,3.1,"[222195, 2376, 839686, 1188, 512001, 616271, 859997, 799612, 95515, 1000004728]","[260217, 18626]",https://fr.web.img2.acsta.net/img/65/fb/65fb597425d9729460aa47bdf64f2931.jpg
43249,Le Professionnel,105,"[13025, 13018, 13008]",1981,['France'],,3.8,"[114, 2815, 2114, 529, 52556, 51999, 5053, 39529, 4825, 10902, 44832, 72986, 13422, 4824, 14797, 21549, 65942, 85563, 142363, 154272, 48375, 102053, 22045, 145873, 168968, 479313, 239936, 448573, 91443, 148041, 166288, 428330, 428333, 447493, 1000013612]",[10330],https://fr.web.img5.acsta.net/medias/nmedia/18/63/24/77/18839668.jpg
4606,Deux hommes dans la ville,100,"[13018, 13008, 13031]",1973,"['France', 'Italie']",,3.9,"[222, 1920, 3892, 976, 630, 73825, 721, 1050, 11644, 33051, 26247, 11533, 3051, 11195, 3913, 11023, 230961, 10266, 90229, 8242, 57286, 49818, 145437, 37383, 248546, 5708, 39512, 142143, 91929, 49445, 9481, 92909, 781, 3810, 147761, 73004, 253554, 756318]",[7775],https://fr.web.img2.acsta.net/medias/nmedia/18/64/82/83/18806957.jpg
45361,Le Jour d'après,120,"[13025, 13021, 13023]",2004,['U.S.A.'],2.8,3.4,"[31683, 4141, 81964, 16419, 59687, 95018, 91228, 263, 11563, 62334, 82490, 121596, 162013, 111782, 199637, 484535, 533561, 143990]",[15633],https://fr.web.img3.acsta.net/medias/nmedia/18/35/21/02/18373869.jpg
1097,Les Aventures d'Arsène Lupin,92,[13001],1957,['France'],,3.2,"[3276, 1160, 93147, 3277, 3609, 3269]",[3269],https://fr.web.img4.acsta.net/medias/nmedia/18/65/92/27/18897454.jpg
325256,Le Deuxième acte,80,[13005],2024,['France'],3.8,3.3,"[149205, 11738, 6417, 839686, 156531, 760392]",[146639],https://fr.web.img4.acsta.net/img/ae/7a/ae7afbe893cad0cc76fe7bd629d863a0.jpg
